actor_id,film_id,last_update
1,1,15/02/2006 05:05
1,23,15/02/2006 05:05
1,25,15/02/2006 05:05
1,106,15/02/2006 05:05
1,140,15/02/2006 05:05
1,166,15/02/2006 05:05
1,277,15/02/2006 05:05
1,361,15/02/2006 05:05
1,438,15/02/2006 05:05
1,499,15/02/2006 05:05
1,506,15/02/2006 05:05
1,509,15/02/2006 05:05
1,605,15/02/2006 05:05
1,635,15/02/2006 05:05
1,749,15/02/2006 05:05
1,832,15/02/2006 05:05
1,939,15/02/2006 05:05
1,970,15/02/2006 05:05
1,980,15/02/2006 05:05
2,3,15/02/2006 05:05
2,31,15/02/2006 05:05
2,47,15/02/2006 05:05
2,105,15/02/2006 05:05
2,132,15/02/2006 05:05
2,145,15/02/2006 05:05
2,226,15/02/2006 05:05
2,249,15/02/2006 05:05
2,314,15/02/2006 05:05
2,321,15/02/2006 05:05
2,357,15/02/2006 05:05
2,369,15/02/2006 05:05
2,399,15/02/2006 05:05
2,458,15/02/2006 05:05
2,481,15/02/2006 05:05
2,485,15/02/2006 05:05
2,518,15/02/2006 05:05
2,540,15/02/2006 05:05
2,550,15/02/2006 05:05
2,555,15/02/2006 05:05
2,561,15/02/2006 05:05
2,742,15/02/2006 05:05
2,754,15/02/2006 05:05
2,811,15/02/2006 05:05
2,958,15/02/2006 05:05
3,17,15/02/2006 05:05
3,40,15/02/2006 05:05
3,42,15/02/2006 05:05
3,87,15/02/2006 05:05
3,111,15/02/2006 05:05
3,185,15/02/2006 05:05
3,289,15/02/2006 05:05
3,329,15/02/2006 05:05
3,336,15/02/2006 05:05
3,341,15/02/2006 05:05
3,393,15/02/2006 05:05
3,441,15/02/2006 05:05
3,453,15/02/2006 05:05
3,480,15/02/2006 05:05
3,539,15/02/2006 05:05
3,618,15/02/2006 05:05
3,685,15/02/2006 05:05
3,827,15/02/2006 05:05
3,966,15/02/2006 05:05
3,967,15/02/2006 05:05
3,971,15/02/2006 05:05
3,996,15/02/2006 05:05
4,23,15/02/2006 05:05
4,25,15/02/2006 05:05
4,56,15/02/2006 05:05
4,62,15/02/2006 05:05
4,79,15/02/2006 05:05
4,87,15/02/2006 05:05
4,355,15/02/2006 05:05
4,379,15/02/2006 05:05
4,398,15/02/2006 05:05
4,463,15/02/2006 05:05
4,490,15/02/2006 05:05
4,616,15/02/2006 05:05
4,635,15/02/2006 05:05
4,691,15/02/2006 05:05
4,712,15/02/2006 05:05
4,714,15/02/2006 05:05
4,721,15/02/2006 05:05
4,798,15/02/2006 05:05
4,832,15/02/2006 05:05
4,858,15/02/2006 05:05
4,909,15/02/2006 05:05
4,924,15/02/2006 05:05
5,19,15/02/2006 05:05
5,54,15/02/2006 05:05
5,85,15/02/2006 05:05
5,146,15/02/2006 05:05
5,171,15/02/2006 05:05
5,172,15/02/2006 05:05
5,202,15/02/2006 05:05
5,203,15/02/2006 05:05
5,286,15/02/2006 05:05
5,288,15/02/2006 05:05
5,316,15/02/2006 05:05
5,340,15/02/2006 05:05
5,369,15/02/2006 05:05
5,375,15/02/2006 05:05
5,383,15/02/2006 05:05
5,392,15/02/2006 05:05
5,411,15/02/2006 05:05
5,503,15/02/2006 05:05
5,535,15/02/2006 05:05
5,571,15/02/2006 05:05
5,650,15/02/2006 05:05
5,665,15/02/2006 05:05
5,687,15/02/2006 05:05
5,730,15/02/2006 05:05
5,732,15/02/2006 05:05
5,811,15/02/2006 05:05
5,817,15/02/2006 05:05
5,841,15/02/2006 05:05
5,865,15/02/2006 05:05
6,29,15/02/2006 05:05
6,53,15/02/2006 05:05
6,60,15/02/2006 05:05
6,70,15/02/2006 05:05
6,112,15/02/2006 05:05
6,164,15/02/2006 05:05
6,165,15/02/2006 05:05
6,193,15/02/2006 05:05
6,256,15/02/2006 05:05
